repo_name,commit,message,Is_Positive,Is_Negative,Justification,Certain,Comment,Sampling
FStarLang/FStar,30cc16a827adbe9688dd8d504e9141eac49f1b68,"Fix test-perf.exe

Interestingly enough, if individual files are compiled with -flto, this
apparently brings in some sort of debugging library into scope that
redefines main(), hence generating an error late at linking-time.
",FALSE,FALSE,Don't consider interestingly to be positve,,,28_dec_2020_pos_hits_3334798837
PowerDNS/pdns,a5238f6267ab570882b0dbc195e89c4fe9efac60,"Merge pull request #855 from cmouse/clang-fixes

Clang fixes - thanks aki!",TRUE,FALSE,thanks,,,28_dec_2020_pos_hits_3334798837
DCAFEngineering/dcaf_case_management,f8ad97fd7e69499d3fcdeb7bccc06671bb7e4564,"adjust strong params
",FALSE,,strong is not positive here,,,28_dec_2020_pos_hits_3334798837
rockdaboot/wget2,2c9f5945f5a83a4fad9525861ad15345c3514b03,"Honor --disable-threads and support no threading

* include/libwget.h.in: Include <stdbool.h>.
Define wget_thread_support().
* libwget/thread.c: Change condition to check
for threading support.
(wget_thread_support): New function.
(wget_thread_start): [!USE_POSIX_THREADS && !USE_PTH_THREADS]
Invoke directly the function.
* src/wget.c (main): If no threads are supported then set the
number of max threads to 1.  If the queue is not empty, call again the
downloader function.  It will be used only in case no threads are
available.
(downloader_thread): Do not wait for new elements in the queue
when there are no threads.
* tests/libtest.c (wget_test_start_server): Skip the test if
there is no threads support.
",FALSE,FALSE,honor is descriptive,,,28_dec_2020_pos_hits_3334798837
gradle/gradle,42b4ece50b2adca9a90d4acead2b3430caf563ae,"Add test coverage for publishing option features to ivy repositories

Inspired by the same test cases we have for publishing to maven
repositories.
",FALSE,FALSE,inspire is descriptive,,,28_dec_2020_pos_hits_3334798837
arangodb/arangodb,9c26a90adfd423798de73447a310f651138c5f35,"hopefully fix version numbering
",FALSE,FALSE,not considering hopefully to positive,,,28_dec_2020_pos_hits_3334798837
tensorflow/probability,a40b6bb65c9b8c4bfb31f6268cc0924ff614ab0d,"making pylint happy
",FALSE,FALSE,"making X happy is not happy, especially when X is pylint",,,28_dec_2020_pos_hits_3334798837
google/llvm-propeller,49158908dceeccda0f37254b48ff5711695911c8,"Add a debug-only 'dump' method to the BlockChain structure to ease
debugging.

llvm-svn: 154286
",FALSE,FALSE,ease is descriptive,,,28_dec_2020_pos_hits_3334798837
advancetoolchain/advance-toolchain,2f4113192a2f39b8d83b987f5c39c1fe46a22cd4,"Replace links for further modification

This commit replaces symbolic links with actual files, without changing its
contents, in order to ease the track of differences with git diff.

Signed-off-by: Erwan Prioul <9949cc68615082c237e6af925cacbd2ea7f2e953@linux.ibm.com>
",FALSE,FALSE,ease is descriptive,,,28_dec_2020_pos_hits_3334798837
vim-airline/vim-airline,7e1206469c87f16dab64dca264d12548f3d0da98,"basic support for hiding based on win size per part (#200).
",FALSE,FALSE,"""win"" here is window",,,28_dec_2020_pos_hits_3334798837
netty/netty,8f5eaaa740c6c58ddda48b7279a04aeef1d1eea7,"Make StreamTest finish sooner to make CI happy
",FALSE,FALSE,"making X happy is not happy, especially when X is CI",,,28_dec_2020_pos_hits_3334798837
massgov/mayflower,7957a5c5355d016ecea5bde573e4890bea5793dc,"Action Card / Rich Text - not centering properly

",FALSE,FALSE,The text is rich,,,28_dec_2020_pos_hits_3334798837
ManageIQ/manageiq,b52f08687f50ed9d550dd175125d268c5335a62b,"Converting some ems_middleware routes to RESTFul
",FALSE,FALSE,Means rest API,,,28_dec_2020_pos_hits_3334798837
tensorflow/probability,29d80b036eefba094cb01face83692fe7731ef9a,"Bump XLA accuracy tolerance for LogLogistic.

Also note relevant bugs for some other huge error tolerances.

PiperOrigin-RevId: 325463409
",FALSE,FALSE,Huge (error),,,28_dec_2020_pos_hits_3334798837
